"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 29 04:15:56 GMT 2021","Fri Oct 29 04:15:56 GMT 2021","392","","behave","","","","increase light brightness",""
"passed","Fri Oct 29 04:15:41 GMT 2021","Fri Oct 29 04:15:41 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Oct 29 04:16:06 GMT 2021","Fri Oct 29 04:16:07 GMT 2021","534","","behave","","","","add item",""
"passed","Fri Oct 29 04:15:56 GMT 2021","Fri Oct 29 04:15:57 GMT 2021","347","","behave","","","","decrease light brightness",""
"passed","Fri Oct 29 04:15:44 GMT 2021","Fri Oct 29 04:15:45 GMT 2021","1029","","behave","","","","read sensor",""
"passed","Fri Oct 29 04:15:41 GMT 2021","Fri Oct 29 04:15:41 GMT 2021","5","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Fri Oct 29 04:15:41 GMT 2021","Fri Oct 29 04:15:41 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Oct 29 04:15:57 GMT 2021","Fri Oct 29 04:15:57 GMT 2021","669","","behave","","","","turn off light",""
"passed","Fri Oct 29 04:15:47 GMT 2021","Fri Oct 29 04:15:56 GMT 2021","8204","","behave","","","","turn on light",""
"passed","Fri Oct 29 04:15:46 GMT 2021","Fri Oct 29 04:15:46 GMT 2021","389","","behave","","","","toggle on switch",""
"passed","Fri Oct 29 04:15:58 GMT 2021","Fri Oct 29 04:16:05 GMT 2021","7457","","behave","","","","tracker",""
"passed","Fri Oct 29 04:15:57 GMT 2021","Fri Oct 29 04:15:58 GMT 2021","371","","behave","","","","triger automation",""
"passed","Fri Oct 29 04:16:05 GMT 2021","Fri Oct 29 04:16:06 GMT 2021","846","","behave","","","","set climate temperature",""
"passed","Fri Oct 29 04:15:41 GMT 2021","Fri Oct 29 04:15:41 GMT 2021","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Fri Oct 29 04:15:56 GMT 2021","Fri Oct 29 04:15:56 GMT 2021","410","","behave","","","","set light brightness",""
"passed","Fri Oct 29 04:15:40 GMT 2021","Fri Oct 29 04:15:40 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Fri Oct 29 04:15:46 GMT 2021","Fri Oct 29 04:15:47 GMT 2021","1014","","behave","","","","turn off switch",""
"passed","Fri Oct 29 04:15:41 GMT 2021","Fri Oct 29 04:15:41 GMT 2021","1","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Fri Oct 29 04:15:41 GMT 2021","Fri Oct 29 04:15:41 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Oct 29 04:15:41 GMT 2021","Fri Oct 29 04:15:41 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Fri Oct 29 04:15:41 GMT 2021","Fri Oct 29 04:15:41 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Fri Oct 29 04:15:41 GMT 2021","Fri Oct 29 04:15:41 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Oct 29 04:15:40 GMT 2021","Fri Oct 29 04:15:40 GMT 2021","30","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Oct 29 04:15:45 GMT 2021","Fri Oct 29 04:15:46 GMT 2021","381","","behave","","","","turn on switch",""
"passed","Fri Oct 29 04:15:46 GMT 2021","Fri Oct 29 04:15:46 GMT 2021","402","","behave","","","","toggle off switch",""
