2021-11-02 07:39:12.613 | INFO     |  6144 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-11-02 07:39:12.617 | INFO     |  6144 | mycroft_bus_client.client.client | Connected
2021-11-02 07:39:12.618 | INFO     |  6144 | mycroft.util.process_utils:start_message_bus_client:155 | Connected to messagebus
2021-11-02 07:39:12.627 | INFO     |  6144 | mycroft.skills.msm_wrapper:create_msm:96 | Acquiring lock to instantiate MSM
2021-11-02 07:39:13.680 | INFO     |  6144 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-11-02 07:39:14.312 | INFO     |  6144 | mycroft.skills.msm_wrapper:create_msm:112 | Releasing MSM instantiation lock.
2021-11-02 07:39:14.312 | INFO     |  6144 | mycroft.skills.skill_updater:_log_next_download_time:267 | Next scheduled skill update: 2021-11-02 07:39:13.312452
2021-11-02 07:39:14.313 | INFO     |  6144 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-pairing
2021-11-02 07:39:14.875 | INFO     |  6144 | msm.skill_entry | Installing system requirements...
2021-11-02 07:39:14.909 | INFO     |  6144 | msm.skill_entry | Successfully installed mycroft-pairing
2021-11-02 07:39:14.910 | INFO     |  6144 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-02 07:39:14.911 | INFO     |  6144 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-pairing.mycroftai
2021-11-02 07:39:14.919 | INFO     |  6144 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-11-02 07:39:14.965 | INFO     |  6144 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-pairing.mycroftai
2021-11-02 07:39:14.966 | INFO     |  6144 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-11-02 07:39:14.966 | INFO     |  6144 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-pairing.mycroftai loaded successfully
2021-11-02 07:39:14.967 | INFO     |  6144 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-volume
2021-11-02 07:39:15.378 | INFO     |  6144 | msm.skill_entry | Installing system requirements...
2021-11-02 07:39:15.401 | INFO     |  6144 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2021-11-02 07:39:16.939 | INFO     |  6144 | msm.skill_entry | Successfully installed mycroft-volume
2021-11-02 07:39:16.940 | INFO     |  6144 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-02 07:39:16.941 | INFO     |  6144 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-volume.mycroftai
2021-11-02 07:39:16.955 | INFO     |  6144 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-11-02 07:39:17.036 | ERROR    |  6144 | VolumeSkill | Couldn't allocate mixer, ALSAAudioError('No such file or directory [default]')
2021-11-02 07:39:20.072 | INFO     |  6144 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-volume.mycroftai
2021-11-02 07:39:20.072 | INFO     |  6144 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-11-02 07:39:20.073 | INFO     |  6144 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-volume.mycroftai loaded successfully
2021-11-02 07:39:20.074 | INFO     |  6144 | __main__:on_started:177 | Skills service is starting up.
2021-11-02 07:39:20.132 | INFO     |  6144 | __main__:_update_system:154 | Attempting system update...
2021-11-02 07:39:23.135 | INFO     |  6144 | mycroft.enclosure.display_manager:_write_data:70 | Display Manager is creating /tmp/mycroft/ipc/managers/disp_info
2021-11-02 07:39:23.137 | INFO     |  6144 | __main__:_ensure_device_is_paired:133 | Device not paired, invoking the pairing skill
2021-11-02 07:39:23.137 | INFO     |  6144 | __main__:on_alive:181 | Skills service is alive.
2021-11-02 07:39:23.145 | INFO     |  6144 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-11-02 07:39:23.346 | INFO     |  6144 | PairingSkill | Communicating account URL to user
2021-11-02 07:39:23.531 | WARNING  |  6144 | msm.mycroft_skills_manager | No such default skill: mycroft-pandora
